TEAM_ID,MISSION_TIME,PACKET_COUNT,PACKET_TYPE,MODE,TP_RELEASED,ALTITUDE,TEMP,VOLTAGE,GPS_TIME,GPS_LATITUDE,GPS_LONGITUDE,GPS_ALTITUDE,GPS_SATS,SOFTWARE_STATE,CMD_ECHO
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
1095,01:32:43,10,C,S,N,81.9,24.1,8.69,01:32:43,28.611,77.03845,81.9,9,1,SIMP102313.87
